.	icon
..	哺乳類
Chiroptera	コウモリ|bat
Muroidea	ネズミ
Cercopithecoidea	オナガザル

..	虫
Araneae	クモ|spider
Scorpiones	サソリ|scorpion
Muscomorpha	ハエ|fry

Culicidae	カ|mosquito
Acari	ダニ
Limulidae	カブトガニ|horseshoe crabs
Chilopoda	ムカデ
Penaeidae	クルマエビ
Palinuridae	イセエビ
Bombinae	ミツバチ
Reduviidae	カメムシ
Formicidae	アリ

Insecta	昆虫|insect

..	ウイルス
Podoviridae	ファージ
Caudovirales	ファージ|bacteriophage
Cystovirus 	|bacteriophage

..	その他
metagenomes	メタゲノム
environmental samples	環境試料|environmental samples


.	linematch
Homo	human
Archaea	archaea
Bacteria	bacteria
Mammalia	mammal
Viruses	virus
other sequences	others
unclassified sequences	others

..	yeast酵母 分類なし
Saccharomyces	yeast
Candida	yeast
Torulopsis	yeast
Zygosaccharomyces	yeast
Schizosaccharomyces	yeast
Pichia	yeast
Yarrowia	yeast
Hansenula	yeast
Kluyveromyces	yeast
Debaryomyces	yeast
Geotrichum	yeast
Wickerhamia	yeast
Fellomyces	yeast
Sporobolomyces	yeast

..	菌類
Fungi	fungus

..	植物
Viridiplantae	plant

..	
Spermatophyta	Seed plant

..	節足動物
Arthropoda	arthropod

..	鳥類
Aves	bird

..	爬虫類
Archosauria	reptile
Reptilia	reptile
Sauria	reptile

..	両生類
Amphibia	amphibia
Tetrapoda	amphibia

..	魚
Vertebrata	fish

..	無脊椎動物
Metazoa	invertebrata

..	その他の真核生物
Eukaryota	eukaryote

.	short
Unidentified	未定義

..	Archaea
Haloarcula	好塩性|Halophile
Halobacterium	好塩性|Halophile
Sulfolobus	好気性・好酸性|acidophilic
Methanocaldococcus	メタン生成菌
Thermoplasma acidophilum	好酸性|acidophilic

..	bacteria
Salmonella	サルモネラ菌

Magnetospirillum	走磁性|magnetotactic
Azotobacter	窒素固定

Agrobacterium tumefaciens	植物への病原性

Enterococcus faecalis	乳酸球菌
Deinococcus radiodurans	放射線耐性|radioresistant

Sinorhizobium	根粒菌
Rhizobium	根粒菌
Bradyrhizobium	根粒菌
Mesorhizobium	根粒菌

Rhodopseudomonas palustris 	光合成細菌|phototrophic
Lactococcus	乳酸菌|lactic acid bacteria
Bacillus anthracis	炭疽菌
Streptomyces griseus	ストレプトマイシン生産菌
Streptomyces kanamyceticus	カナマイシン生産菌
Bacillus subtilis subsp. natto	納豆菌

..	真核
Caenorhabditis elegans	センチュウ
Dictyostelium discoideum	キイロタマホコリカビ
Acytostelium subglobosum	細胞性粘菌
Gallus gallus	ニワトリ
Sus scrofa	ブタ
Homo sapiens	ヒト
Mus musculus	ハツカネズミ
Rattus norvegicus	ドブネズミ
	
Hirudo medicinalis	医用ビル|medicinal leech

Araneus	オニグモ|diadem spider
Araneae	クモ|spider
Haplopelma	クモ|spider
Leiurus	サソリ|scorpion
Limulus	カブトガニ

Todarodes	イカ|squid
Loligo	イカ|squid

Aegilops speltoides	クサビコムギ

Armoracia rusticana	セイヨウワサビ|horseradish
Oryza sativa	イネ|rice
Arabidopsis thaliana	シロイヌナズナ|thale cress
Glycine max	ダイズ|soybean
Pisum	エンドウ|peas
Spinacia	ホウレンソウ|spinach
Hordeum	オオムギ|barley
Phaseolus	インゲン| French bean| kidney bean
Saponaria	シャボンソウ|soapwort
Scenedesmus	イカダモ
Chlamydomonas	クラミドモナス

Aequorea victoria	オワンクラゲ|jellyfish

xenopus laevis	アフリカツメガエル|African clawed frog
Synthetic	人工物
Saccharomyces cerevisiae	パン酵母
Schizosaccharomyces pombe	分裂酵母
Strongylocentrotus purpuratus	ムラサキウニ
Danio rerio	ゼブラフィッシュ
Oryctolagus cuniculus	ウサギ
Canis lupus familiaris	イヌ
Spodoptera frugiperda	ツマジロクサヨトウ

.	short_part

.	short_virus
Influenza A	A型インフルエンザウイルス
Influenza B 	B型インフルエンザウイルス
Influenza	インフルエンザウイルス
Poliovirus	ポリオウイルス
Rift Valley fever	リフトバレー熱ウイルス
Human adenovirus	ヒトアデノウイルス
adenovirus	アデノウイルス
Human immunodeficiency virus	ヒト免疫不全ウイルス
Rice dwarf virus	イネ萎縮ウイルス
Rous sarcoma virus	ラウス肉腫ウイルス
Enterobacteria phage t4	T4ファージ
Escherichia virus T4	T4ファージ
West Nile virus	西ナイルウイルス
Sputnik virophage	スプートニクヴィロファージ
Cowpea mosaic virus	ササゲモザイクウイルス

.	short_part_virus
coxsackievirus	コクサッキーウイルス
Human alphaherpesvirus 3	水痘・帯状疱疹ウイルス
herpes simplex virus	単純ヘルペスウイルス

herpesvirus	ヘルペスウイルス
enterovirus	エンテロウイルス
poliovirus	ポリオウイルス
dengue	デング熱ウイルス
rhinovirus	ライノウイルス
zika	ジカ熱ウイルス
hepatitis c	C型肝炎ウイルス
ebola	エボラウイルス
papillomavirus	パピローマウイルス
hiv-1	ヒト免疫不全ウイルス
sars coronavirus	SARSコロナウイルス
influenza	インフルエンザウイルス

phage lambda	λファージ
phage	ファージ
