.	img_angle
//ムービーのスナップショットの方向
..	EMDB
5tal-dep	bottom
5tam-dep	bottom
5tan-dep	bottom
5tap-dep	bottom
5taq-dep	bottom
5tas-dep	bottom
5tat-dep	bottom
5tau-dep	bottom
5tav-dep	bottom
5taw-dep	bottom
5tax-dep	bottom
5tay-dep	bottom
5taz-dep	bottom
5tb0-dep	bottom
5tb1-dep	bottom
5tb2-dep	bottom
5tb3-dep	bottom
5tb4-dep	bottom

5go9-dep	bottom
5goa-dep	bottom

5hnw	y90
5hnx	y90
5hny	y90
5hnz	y90

5iv7	top
3jd6	top
5ijn	top
5ijo	top

5a1u	x90
5a1v	x90
5a1w	x90
5a1x	x90
5a1y	x90

1ml5-sp	y90
1p6g-sp	y90
1p85-sp	y90
1p86-sp	y90
1p87-sp	y90
1s1h-sp	y90
1s1i-sp	y90
2gy9-sp	y90
2gya-sp	y90
2gyb-sp	y90
2gyc-sp	y90
2wwl-sp	y90
2wwq-sp	y90
2xsy-sp	y90
2xtg-sp	y90
2xux-sp	y90
2xuy-sp	y90
2zkq-sp	y90
2zkr-sp	y90
3a1a-sp	y90
3a1b-sp	y90
3a1c-sp	y90
3a1d-sp	y90
3bbn-sp	y90
3bbo-sp	y90
3dg0-sp	y90
3dg2-sp	y90
3dg4-sp	y90
3dg5-sp	y90
3e1a-sp	y90
3e1b-sp	y90
3e1c-sp	y90
3e1d-sp	y90
3fic-sp	y90
3fih-sp	y90
3fik-sp	y90
3fin-sp	y90
3izb-sp	y90
3izd-sp	y90
3ize-sp	y90
3izf-sp	y90
3izs-sp	y90
3izt-sp	y90
3izu-sp	y90
3izv-sp	y90
3izw-sp	y90
3j00-sp	y90
3j01-sp	y90
3jyv-sp	y90
3jyw-sp	y90
3jyx-sp	y90
3kc4-sp	y90
3kcr-sp	y90
2wbe-sp	y90

3j0t-sp	y90
3j0u-sp	y90
3j0v-sp	y90
3j0w-sp	y90
3j0x-sp	y90
3j0y-sp	y90
3j0z-sp	y90
3j10-sp	y90
3j11-sp	y90
3j12-sp	y90
3j13-sp	y90
3j14-sp	y90

3j15-sp	y90
3j20-sp	y90
3j21-sp	y90
3j2l-sp	y90

3zeq-sp	y90
3zex-sp	y90
3zey-sp	y90
