.	emdb
8803	30349041
8804	30349041
8805	30349041
8806	30349041
8869	29437962
8884	30057110
8898	31233493
8939	30602608
8950	
8965	30496818
8966	30496818
8987	30718774
8988	30718774
8989	30718774
8990	30718774
8991	30718774
8994	30718774
9005	
9011	30982634
9110	30787153
9191	30872121
9193	30542156
9203	31121317
9230	30459277
9233	31121317
9253	30503773
9254	30503773
9255	30503773
9392	30945633
9522	
9523	
9569	28112732
9614	
9628	
9676	30478789
9679	30478789
9705	
9706	
9707	
9857	31080063
9858	
9859	
9865	
9898	
9910	
9913	
9915	
9954	
9960	
9961	
9962	
9964	
9969	
9970	

.	pdb
2z9q	17925437
3dg0	
3dg2	
3dg4	
3dg5	
3iyo	20720013
3j7b	25303172
3jb5	
3jcu	27251276
3jd8	27238017
4v65	
4v66	
4v93	25897633
5gkn	25730881
5l1d	28536302
5tsk	28148783
5tsl	28148783
6ar6	31233493
6ci1	
6djy	32049031
6dzu	30602608
6e8g	
6f5j	32679289
6gsm	
6gsn	
6gyn	
6gyo	
6hma	
6i5t	31925077
6i5u	31925077
6jja	
6jjc	
6jjd	
6jzo	
6k3o	
6k43	
6k4m	
6ka4	
6ke6	
6kuu	31209309
6kw5	
6kxs	
6l2t	31624094
6l42	32341479
6l4s	
6l4t	32424145
6l4u	32424145
6l7e	
6l7i	
6la3	
6la4	
6la5	
6la6	
6la7	
6lao	
6lap	
6lar	
6lb1	
6lba	
6lbo	
6lbq	
6lxv	
6m7d	33888861
6n4c	
6nd0	
6nt3	30733386
6o6b	
6ojq	
6om6	33741965
6pb4	32310937
6pb5	32310937
6pb6	32310937
6pnj	32076649
6pxd	33567265
6pxm	
6q6i	31653338
6qd8	31591605
6qwj	
6r81	
6r8b	
6r8u	
6r9b	32039758
6rju	
6rpk	
6rpl	
6rpo	
6rqt	31804486
6rtk	
6s3q	
6s44	
6s61	
6smx	33318620
6sn0	33318620
6sn2	33318620
6sn3	33318620
6sn4	33318620
6sn5	33318620
6sn7	33318620
6sn8	33318620
6sn9	33318620
6so7	33318620
6so8	33318620
6soa	33318620
6sob	33318620
6soc	33318620
6sog	33318620
6soh	33318620
6soj	33318620
6tra	
6trc	
6trd	
6tre	32284565
6tu4	
6tu7	
6u0m	32019936
6u0r	31859208
6u0v	31859208
6u1s	32848250
6u5g	32148858
6u5z	
6ugh	
6um1	32095534
6um2	32095534
6umm	31886769
6uop	32431832
6uoq	32431832
6uor	32431832
6uos	32431832
6uou	32431832
6uow	32431832
6urt	34017046
6ut4	33219217
6ut5	33219217
6ut6	33219217
6ut7	33219217
6ut8	33219217
6uvt	32320665
6v3f	32596471
6v3h	32596471
6v8r	32744252
6vef	
6vk9	
6vps	32165583
6vpv	
6vrs	32431828
6vrw	32268107
6vsa	32431828
6vsc	32431828
6vtt	32268107
6vvo	32907938
6vyf	32431829
6vyg	32431829
6w5i	
6w5m	
6w5n	
6w6e	34038719
6w6g	34038719
6w6h	34038719
6w6i	34038719
6w6j	34038719
6w8n	
6w8o	
6w8p	
6w8u	32647180
6w8x	32647180
6wha	32946782
6whg	
6wj6	
6wjv	32572031
6wkt	
6wkv	
6wl1	
6woo	33024099
6wot	32832689
6wou	32832689
6wov	32832689
6wpk	32755591
6wq0	32759221
6wq2	32759221
6wqh	
6wxh	
6wxi	
6wxl	
6x67	32651359
6x68	32651359
6x80	32641510
6x9o	
6xhi	33682792
6xhj	33682792
6xlb	
6xlc	
6xld	
6xle	
6xlf	
6xlg	
6xlh	
6xmj	
6xos	
6xot	
6xou	
6xov	
6xow	
6xqb	
6xsk	
6y5r	
6y7s	
6ybp	
6ybq	
6ye4	
6yng	
6ys3	33149120
6ys8	
6yys	33339823
6z11	33339823
6z43	32661423
6zby	
6zgd	34210687
6zgj	34210687
6zgk	34210687
6zhd	32661423
6zji	33444527
6zlg	
6zlq	
6zlv	
6zvr	
6zvs	
6zvt	
6zw4	
6zw5	
6zw6	
6zw7	
6zzx	
6zzy	
7a1d	34083757
7a4p	
7a6u	
7aa5	
7abz	34389707
7ac7	34389707
7acj	34389707
7acr	34389707
7ah9	33750771
7ahi	33750771
7azy	33990576
7b03	34226545
7b5k	
7b5y	
7b7d	
7b9k	
7bgy	34272288
7bh1	34272288
7bh2	34272288
7bh9	
7bp8	
7bp9	
7bpa	
7bpb	
7bw7	
7bw8	
7bwa	
7bwd	
7bzw	34021140
7bzy	34021140
7c1d	
7c4j	32636384
7c97	32785630
7chw	32785630
7ckl	34127846
7ckm	34127846
7clr	34294704
7cpx	33558520
7cpy	33558520
7cq5	
7cq6	
7cq7	
7ctt	33521757
7cub	
7cuq	
7cuw	
7cye	34373447
7cyf	34373447
7cyh	
7cyp	
7d4g	
7d4p	33683200
7d4q	33683200
7d5i	34330928
7d6v	33876763
7d6x	33876763
7d73	33986552
7d74	33986552
7d9r	
7d9s	
7d9t	
7d9u	
7ddo	
7ddp	
7dhi	
7dhr	
7dmp	
7dn5	33472937
7drt	34315898
7dsk	33758168
7dsl	33758168
7dsn	33758168
7dsq	33758168
7dx4	
7dxa	
7dxh	
7dxj	33909994
7dxk	33909994
7dy0	
7e26	
7e27	
7e4t	33683200
7eaz	
7eb0	
7eb3	
7eb4	
7eb5	
7efc	
7efd	
7ej4	
7ej5	
7eju	
7eld	
7ele	
7eo0	34406868
7etw	34192549
7eu7	34321660
7eu8	34321660
7ewq	34215847
7ezh	
7ezk	
7ezm	
7f3e	34339732
7f3t	
7f3u	
7f4g	
7f62	
7f63	
7f9y	34417468
7f9z	34417468
7fdg	
7fdh	
7fdi	
7fdk	
7jhg	
7jhh	
7jic	33446559
7jk9	33875834
7jn3	33712691
7jot	32039886
7jr7	33953337
7jse	33270897
7jzw	
7jzx	
7jzz	
7kbb	
7khr	33741963
7kif	34171296
7kim	34171296
7kin	34171296
7ko8	34031424
7krz	
7ksl	
7ksm	
7kwg	
7kx7	
7kx9	
7l08	34127662
7l1q	34344897
7l1r	34344897
7l1s	34344897
7l20	34127662
7l6n	34038719
7l8e	34376662
7l8f	34376662
7l8g	34376662
7lcc	34403695
7lg5	34385683
7lgj	34385683
7lgm	34385683
7lgq	34385683
7lhe	34035440
7lhf	34035440
7lhg	
7lhh	
7lhi	
7lic	34349260
7lid	34349260
7lig	34349260
7ljf	33930464
7ll1	
7ll2	
7llk	
7lqe	
7lqf	
7lqg	
7lqh	
7lqi	
7lqv	33789084
7lwd	34417466
7lx0	
7ly9	
7lze	
7lzj	
7m17	
7m19	
7m22	
7m30	
7m4p	34044590
7m4q	34044590
7m6l	
7m8e	
7md2	
7md3	
7mdm	34405853
7mdo	34405853
7mdw	34344900
7mdx	34344901
7mdy	34344901
7me0	
7me7	34344900
7mej	34344900
7mez	34348129
7mir	34407442
7mis	34407442
7mkn	
7mko	
7mkp	
7mkq	
7msw	34013269
7msx	34013269
7n06	34403466
7n0g	33532775
7n0h	33532775
7n33	34403466
7n9a	33758850
7n9b	33758850
7n9c	33758850
7n9e	33758850
7n9t	34344900
7ncr	
7nfy	
7ng4	
7ng5	
7ng8	34330923
7ng9	34330923
7ngc	
7ngf	
7ngl	
7ngp	
7ngq	
7nl0	34354236
7nnl	
7nnp	
7nnt	34408021
7nnu	34408021
7nqh	33878294
7nqk	
7nql	33878294
7nsh	33878294
7nsi	33878294
7nsj	33878294
7nst	
7nsu	
7nyw	
7nyx	
7nyy	
7nyz	
7nz0	
7nz2	
7nz3	
7nz4	
7o24	
7o2w	34297726
7o6e	34342280
7o85	
7oan	
7ock	
7ohf	
7oj5	
7ok0	
7ole	34233195
7om8	
7on1	
7onu	
7oq4	
7oqb	34349264
7oqc	34349264
7oqe	34349264
7oqy	
7oqz	
7ouf	34404793
7oug	34404793
7ouh	34404793
7oyg	
7oz3	
7ozu	34381216
7ozv	34381216
7p09	
7p0b	
7p0m	
7p0z	34337436
7p13	34337436
7p54	34385445
7p5c	34385445
7p5j	34385445
7p5m	34385445
7p77	
7p78	
7p79	
7p7a	
7p7b	
7p8w	
7r8m	33758864
7r8n	33758864
7r8o	33758864
7r8v	
7r91	
7rb0	
7rb2	
7rb8	
7rb9	
7rh5	
7rh6	
7rh7	
7rtt	
7rtu	
7rtw	

